Product_ID,Variant_ID,Company_ID,Company_Location_ID,Quantity,Contract_Price,Last_Purchase_Price,Template_Name,Template_Price
018_300000003628279,,,,,,,,0
050_300000003628279,,,,,,,,0
051_300000003628279,,,,,,,,0
053_300000003628227,,,,,,,,0
057_300000003628227,,,,,,,,0
060_300000003628227,,,,,,,,0
064_300000003628227,,,,,,,,0
066_300000003628227,,,,,,,,0
067_300000003628227,,,,,,,,0
070_300000003628227,,,,,,,,0
071_300000003628227,,,,,,,,0
072_300000003628227,,,,,,,,0
072_300000003628419,,,,,,,,0
073_300000003628227,,,,,,,,0
074_300000003628227,,,,,,,,0
074_300000003628419,,,,,,,,0
075_300000003628227,,,,,,,,0
076_300000003628227,,,,,,,,0
077_300000003628227,,,,,,,,0
078_300000003628227,,,,,,,,0
078_300000003628419,,,,,,,,0
080_300000003628227,,,,,,,,0
082_300000003628279,,,,,,,,0
083_300000003628279,,,,,,,,0
084_300000003628279,,,,,,,,0
088_300000003628227,,,,,,,,0
090_300000003628279,,,,,,,,0
096_300000003628227,,,,,,,,0
097_300000003628227,,,,,,,,0
155_300000003628279,,,,,,,,0
,100000007930951,,,,,,,7.5584
,100000007930854,,,,,,,19.9418
,100000007930897,,,,,,,15.8599
,100000007982055,,,,,,,0.2411
,100000007982578,,,,,,,0.4728
,100000007982627,,,,,,,0.1353
,100000007982703,,,,,,,0.1896
,100000007982554,,,,,,,0.1199
,100000007982603,,,,,,,0.2636
,100000007982731,,,,,,,0.1975
,100000007982530,,,,,,,0.1725
,100000007982629,,,,,,,0.227
,100000007982577,,,,,,,0.2072
,100000007982626,,,,,,,0.2034
,100000007982702,,,,,,,0.225
,100000007982755,,,,,,,0.347
,100000007982407,,,,,,,0.6937
,100000007982280,,,,,,,0.6343
,100000007982316,,,,,,,0.90507
,100000007982338,,,,,,,0.2893
,100000007982374,,,,,,,0.0876
,100000007982221,,,,,,,0.2564
,100000007982252,,,,,,,0.3461
,100000007982263,,,,,,,0.3798
,100000007983138,,,,,,,0.0262
,100000007983858,,,,,,,0.0339
,100000007984029,,,,,,,0.0347
,100000007984082,,,,,,,0.0297
,100000007983856,,,,,,,0.0337
,100000007983836,,,,,,,0.0409
,100000007983953,,,,,,,0.0656
,100000007984030,,,,,,,0.0515
,100000007983412,,,,,,,0.0807
,100000008007117,,,,,,,0.4312
